latitude,longitude,elevation,time
-33.43518275767565,-70.64080246724188,578.4000244140625,2025-05-18 12:35:32+00:00
-33.43518837355077,-70.64077748917043,578.5999755859375,2025-05-18 12:35:33+00:00
-33.43519784510136,-70.64076533541083,578.5999755859375,2025-05-18 12:35:34+00:00
-33.43520530499518,-70.64074815250933,578.5999755859375,2025-05-18 12:35:35+00:00
-33.43520781956613,-70.64073440618813,578.5999755859375,2025-05-18 12:35:36+00:00
-33.43521033413708,-70.6407221686095,578.5999755859375,2025-05-18 12:35:37+00:00
-33.43521410599351,-70.640710266307,578.5999755859375,2025-05-18 12:35:38+00:00
-33.43522248789668,-70.64068822190166,578.5999755859375,2025-05-18 12:35:39+00:00
-33.43522961251438,-70.64066634513438,578.5999755859375,2025-05-18 12:35:40+00:00
-33.43523665331304,-70.64064170233905,578.5999755859375,2025-05-18 12:35:41+00:00
-33.43523950316012,-70.64063005149364,578.5999755859375,2025-05-18 12:35:42+00:00
-33.43523958697915,-70.64061848446727,578.7999877929688,2025-05-18 12:35:43+00:00
-33.435239251703024,-70.64060792326927,578.7999877929688,2025-05-18 12:35:44+00:00
-33.43523765914142,-70.6405908241868,578.7999877929688,2025-05-18 12:35:45+00:00
-33.43524151481688,-70.64057297073305,578.7999877929688,2025-05-18 12:35:46+00:00
-33.43524654395878,-70.64055293798447,578.7999877929688,2025-05-18 12:35:47+00:00
-33.43525023199618,-70.64053391106427,578.7999877929688,2025-05-18 12:35:48+00:00
-33.43525576405227,-70.64051748253405,578.7999877929688,2025-05-18 12:35:49+00:00
-33.435261296108365,-70.64050214365125,578.5999755859375,2025-05-18 12:35:50+00:00
-33.43526741489768,-70.64048789441586,578.5999755859375,2025-05-18 12:35:51+00:00
-33.43526875600219,-70.64047674648464,578.5999755859375,2025-05-18 12:35:52+00:00
-33.43527026474476,-70.64046568237245,578.5999755859375,2025-05-18 12:35:53+00:00
-33.43527277931571,-70.64045847393572,578.5999755859375,2025-05-18 12:35:54+00:00
-33.43527194112539,-70.64045461826026,578.5999755859375,2025-05-18 12:35:55+00:00
-33.43527336604893,-70.6404494214803,578.5999755859375,2025-05-18 12:35:56+00:00
-33.43527554534376,-70.64044078812003,578.5999755859375,2025-05-18 12:35:57+00:00
-33.43527847900987,-70.64043349586427,578.5999755859375,2025-05-18 12:35:58+00:00
-33.43528090976179,-70.64042494632304,578.5999755859375,2025-05-18 12:35:59+00:00
-33.43528241850436,-70.64041916280985,578.5999755859375,2025-05-18 12:36:00+00:00
-33.4352819994092,-70.64041212201118,578.5999755859375,2025-05-18 12:36:01+00:00
-33.4352801553905,-70.6404081825167,578.5999755859375,2025-05-18 12:36:02+00:00
-33.4352801553905,-70.64039871096611,578.5999755859375,2025-05-18 12:36:03+00:00
-33.43528417870402,-70.64038965851068,578.5999755859375,2025-05-18 12:36:04+00:00
-33.435284765437245,-70.64038286916912,578.5999755859375,2025-05-18 12:36:05+00:00
-33.43528786674142,-70.64037063159049,578.5999755859375,2025-05-18 12:36:06+00:00
-33.43528937548399,-70.64035814255476,578.5999755859375,2025-05-18 12:36:07+00:00
-33.43529373407364,-70.64034682698548,578.5999755859375,2025-05-18 12:36:08+00:00
-33.43529851175845,-70.64033098518848,578.5999755859375,2025-05-18 12:36:09+00:00
-33.43530161306262,-70.64032092690468,578.5999755859375,2025-05-18 12:36:10+00:00
-33.43530362471938,-70.64030558802187,578.5999755859375,2025-05-18 12:36:11+00:00
-33.435308653861284,-70.64029259607196,578.5999755859375,2025-05-18 12:36:12+00:00
-33.43531443737447,-70.6402763351798,578.5999755859375,2025-05-18 12:36:13+00:00
-33.435317454859614,-70.64026426523924,578.5999755859375,2025-05-18 12:36:14+00:00
-33.43532080762088,-70.6402541231364,578.5999755859375,2025-05-18 12:36:15+00:00
-33.43532566912472,-70.64024599269032,578.5999755859375,2025-05-18 12:36:16+00:00
-33.43533053062856,-70.64023233018816,578.5999755859375,2025-05-18 12:36:17+00:00
-33.43533589504659,-70.6402144767344,578.5999755859375,2025-05-18 12:36:18+00:00
-33.43534201383591,-70.64019762910903,578.5999755859375,2025-05-18 12:36:19+00:00
-33.43534452840686,-70.64017700962722,578.5999755859375,2025-05-18 12:36:20+00:00
-33.43534670770168,-70.64016284421086,578.7999877929688,2025-05-18 12:36:21+00:00
-33.435349222272635,-70.64015136100352,578.7999877929688,2025-05-18 12:36:22+00:00
-33.43535249121487,-70.64014188945293,578.7999877929688,2025-05-18 12:36:23+00:00
-33.43535684980452,-70.64012956805527,578.7999877929688,2025-05-18 12:36:24+00:00
-33.43535911291838,-70.64011758193374,578.7999877929688,2025-05-18 12:36:25+00:00
-33.43536087311804,-70.64010350033641,578.7999877929688,2025-05-18 12:36:26+00:00
-33.43536380678415,-70.64008799381554,578.7999877929688,2025-05-18 12:36:27+00:00
-33.43536850064993,-70.64007433131337,578.7999877929688,2025-05-18 12:36:28+00:00
-33.43537101522088,-70.6400641053915,578.7999877929688,2025-05-18 12:36:29+00:00
-33.43537235632539,-70.64005312509835,578.7999877929688,2025-05-18 12:36:30+00:00
-33.435372272506356,-70.64004382118583,578.7999877929688,2025-05-18 12:36:31+00:00
-33.43537252396345,-70.64003334380686,578.7999877929688,2025-05-18 12:36:32+00:00
-33.43536967411637,-70.64001884311438,578.7999877929688,2025-05-18 12:36:33+00:00
-33.43536741100252,-70.64000484533608,578.7999877929688,2025-05-18 12:36:34+00:00
-33.43536908738315,-70.63999017700553,578.7999877929688,2025-05-18 12:36:35+00:00
-33.43537193723023,-70.63997416757047,578.7999877929688,2025-05-18 12:36:36+00:00
-33.435377134010196,-70.63995790667832,578.7999877929688,2025-05-18 12:36:37+00:00
-33.43538266606629,-70.63994181342423,578.7999877929688,2025-05-18 12:36:38+00:00
-33.43538727611303,-70.63992806710303,578.7999877929688,2025-05-18 12:36:39+00:00
-33.435393227264285,-70.63991138711572,578.7999877929688,2025-05-18 12:36:40+00:00
-33.4353975020349,-70.63989504240453,578.7999877929688,2025-05-18 12:36:41+00:00
-33.435396160930395,-70.63988020643592,578.7999877929688,2025-05-18 12:36:42+00:00
-33.43539867550135,-70.63986394554377,579.0,2025-05-18 12:36:43+00:00
-33.43539850786328,-70.63984994776547,579.0,2025-05-18 12:36:44+00:00
-33.43540043570101,-70.63983527943492,579.0,2025-05-18 12:36:45+00:00
-33.435399513691664,-70.63982220366597,579.0,2025-05-18 12:36:46+00:00
-33.43540026806295,-70.63980837352574,579.0,2025-05-18 12:36:47+00:00
-33.435403537005186,-70.63979228027165,579.0,2025-05-18 12:36:48+00:00
-33.43541024252772,-70.63977635465562,579.0,2025-05-18 12:36:49+00:00
-33.43541015870869,-70.63976344652474,579.0,2025-05-18 12:36:50+00:00
-33.4354167804122,-70.63973947428167,579.0,2025-05-18 12:36:51+00:00
-33.43542097136378,-70.63972388394177,579.0,2025-05-18 12:36:52+00:00
-33.435423485934734,-70.63970787450671,579.0,2025-05-18 12:36:53+00:00
-33.435429856181145,-70.63968708738685,579.0,2025-05-18 12:36:54+00:00
-33.435435723513365,-70.63966512680054,579.0,2025-05-18 12:36:55+00:00
-33.435437735170126,-70.63964609988034,579.0,2025-05-18 12:36:56+00:00
-33.43544678762555,-70.63961609266698,579.0,2025-05-18 12:36:57+00:00
-33.435451900586486,-70.63959396444261,579.0,2025-05-18 12:36:58+00:00
-33.435454331338406,-70.63956798054278,579.0,2025-05-18 12:36:59+00:00
-33.43546346761286,-70.6395410746336,579.0,2025-05-18 12:37:00+00:00
-33.435464138165116,-70.6395220477134,579.0,2025-05-18 12:37:01+00:00
-33.435474364086986,-70.6395009253174,579.0,2025-05-18 12:37:02+00:00
-33.43547855503857,-70.6394805572927,579.0,2025-05-18 12:37:03+00:00
-33.43547956086695,-70.63946194946766,579.0,2025-05-18 12:37:04+00:00
-33.4354873560369,-70.63943294808269,579.0,2025-05-18 12:37:05+00:00
-33.435488026589155,-70.63941484317183,579.0,2025-05-18 12:37:06+00:00
-33.435494313016534,-70.63938986510038,579.0,2025-05-18 12:37:07+00:00
-33.435502611100674,-70.63936329446733,579.0,2025-05-18 12:37:08+00:00
-33.43550403602421,-70.63934200443327,579.0,2025-05-18 12:37:09+00:00
-33.435512501746416,-70.63931501470506,579.0,2025-05-18 12:37:10+00:00
-33.43551551923156,-70.6392995081842,579.0,2025-05-18 12:37:11+00:00
-33.43552448786795,-70.63927478156984,579.2000122070312,2025-05-18 12:37:12+00:00
-33.43553110957146,-70.63925483264029,579.2000122070312,2025-05-18 12:37:13+00:00
-33.43553479760885,-70.63923195004463,579.2000122070312,2025-05-18 12:37:14+00:00
-33.43554292805493,-70.63920286484063,579.2000122070312,2025-05-18 12:37:15+00:00
-33.435545191168785,-70.6391763780266,579.2000122070312,2025-05-18 12:37:16+00:00
-33.43555407598615,-70.63914821483195,579.2000122070312,2025-05-18 12:37:17+00:00
-33.435559775680304,-70.63912650570273,579.2000122070312,2025-05-18 12:37:18+00:00
-33.43556388281286,-70.63910194672644,579.2000122070312,2025-05-18 12:37:19+00:00
-33.43557243235409,-70.63907319679856,579.2000122070312,2025-05-18 12:37:20+00:00
-33.43557318672538,-70.63905525952578,579.2000122070312,2025-05-18 12:37:21+00:00
-33.43558542430401,-70.63902617432177,579.2000122070312,2025-05-18 12:37:22+00:00
-33.435592548921704,-70.63900672830641,579.2000122070312,2025-05-18 12:37:23+00:00
-33.4355980809778,-70.63898401334882,579.2000122070312,2025-05-18 12:37:24+00:00
-33.43560520559549,-70.63895786181092,579.2000122070312,2025-05-18 12:37:25+00:00
-33.435603780671954,-70.63893942162395,579.4000244140625,2025-05-18 12:37:26+00:00
-33.43561476096511,-70.6389086600393,579.4000244140625,2025-05-18 12:37:27+00:00
-33.43561836518347,-70.6388880405575,579.4000244140625,2025-05-18 12:37:28+00:00
-33.43562465161085,-70.63885987736285,579.4000244140625,2025-05-18 12:37:29+00:00
-33.435632195323706,-70.63883515074849,579.4000244140625,2025-05-18 12:37:30+00:00
-33.435632614418864,-70.63881360925734,579.4000244140625,2025-05-18 12:37:31+00:00
-33.4356395713985,-70.63878846354783,579.4000244140625,2025-05-18 12:37:32+00:00
-33.43564745038748,-70.63876851461828,579.4000244140625,2025-05-18 12:37:33+00:00
-33.43564996495843,-70.63874764367938,579.4000244140625,2025-05-18 12:37:34+00:00
-33.43565884977579,-70.63872425816953,579.4000244140625,2025-05-18 12:37:35+00:00
-33.43566211871803,-70.63870590180159,579.4000244140625,2025-05-18 12:37:36+00:00
-33.43566907569766,-70.63868209719658,579.4000244140625,2025-05-18 12:37:37+00:00
-33.43567452393472,-70.63865938223898,579.4000244140625,2025-05-18 12:37:38+00:00
-33.43567653559148,-70.63863926567137,579.4000244140625,2025-05-18 12:37:39+00:00
-33.435682989656925,-70.63861110247672,579.4000244140625,2025-05-18 12:37:40+00:00
-33.43568474985659,-70.63859425485134,579.5999755859375,2025-05-18 12:37:41+00:00
-33.435692796483636,-70.63856600783765,579.5999755859375,2025-05-18 12:37:42+00:00
-33.43569681979716,-70.63854488544166,579.5999755859375,2025-05-18 12:37:43+00:00
-33.435699585825205,-70.63852099701762,579.5999755859375,2025-05-18 12:37:44+00:00
-33.435707380995154,-70.6384942587465,579.5999755859375,2025-05-18 12:37:45+00:00
-33.435709308832884,-70.63847330398858,579.5999755859375,2025-05-18 12:37:46+00:00
-33.435718696564436,-70.6384424585849,579.5999755859375,2025-05-18 12:37:47+00:00
-33.43571987003088,-70.63842133618891,579.5999755859375,2025-05-18 12:37:48+00:00
-33.43572774901986,-70.63839199952781,579.5999755859375,2025-05-18 12:37:49+00:00
-33.435733364894986,-70.6383700389415,579.7999877929688,2025-05-18 12:37:50+00:00
-33.435735711827874,-70.63834774307907,579.7999877929688,2025-05-18 12:37:51+00:00
-33.435742082074285,-70.6383166462183,579.7999877929688,2025-05-18 12:37:52+00:00
-33.43574417755008,-70.63829686492682,579.7999877929688,2025-05-18 12:37:53+00:00
-33.435754822567105,-70.63826727680862,579.7999877929688,2025-05-18 12:37:54+00:00
-33.43575716949999,-70.63824841752648,579.7999877929688,2025-05-18 12:37:55+00:00
-33.43576521612704,-70.63822528347373,579.7999877929688,2025-05-18 12:37:56+00:00
-33.4357706643641,-70.63820357434452,580.0,2025-05-18 12:37:57+00:00
-33.43577183783054,-70.63818270340562,580.0,2025-05-18 12:37:58+00:00
-33.43577980063856,-70.63815797679126,580.0,2025-05-18 12:37:59+00:00
-33.43578374013305,-70.63813484273851,580.0,2025-05-18 12:38:00+00:00
-33.43579371459782,-70.63810802064836,580.0,2025-05-18 12:38:01+00:00
-33.43580033630133,-70.63808823935688,580.0,2025-05-18 12:38:02+00:00
-33.4358068741858,-70.6380642671138,580.0,2025-05-18 12:38:03+00:00
-33.43581508845091,-70.63803987577558,580.2000122070312,2025-05-18 12:38:04+00:00
-33.435816345736384,-70.6380179990083,580.2000122070312,2025-05-18 12:38:05+00:00
-33.435823218896985,-70.63798941671848,580.2000122070312,2025-05-18 12:38:06+00:00
-33.43582632020116,-70.63797064125538,580.2000122070312,2025-05-18 12:38:07+00:00
-33.43583428300917,-70.63794650137424,580.2000122070312,2025-05-18 12:38:08+00:00
-33.435842245817184,-70.63792596571147,580.4000244140625,2025-05-18 12:38:09+00:00
-33.43584383837879,-70.63790375366807,580.4000244140625,2025-05-18 12:38:10+00:00
-33.43585121445358,-70.63787416554987,580.4000244140625,2025-05-18 12:38:11+00:00
-33.43584987334907,-70.63785631209612,580.4000244140625,2025-05-18 12:38:12+00:00
-33.435859931632876,-70.63782890327275,580.4000244140625,2025-05-18 12:38:13+00:00
-33.435867642983794,-70.63780945725739,580.4000244140625,2025-05-18 12:38:14+00:00
-33.435874097049236,-70.63778774812818,580.4000244140625,2025-05-18 12:38:15+00:00
-33.43588306568563,-70.63776360824704,580.4000244140625,2025-05-18 12:38:16+00:00
-33.435884742066264,-70.6377378758043,580.4000244140625,2025-05-18 12:38:17+00:00
-33.4358932916075,-70.6377051025629,580.5999755859375,2025-05-18 12:38:18+00:00
-33.435902846977115,-70.63768624328077,580.5999755859375,2025-05-18 12:38:19+00:00
-33.43590938486159,-70.63765916973352,580.5999755859375,2025-05-18 12:38:20+00:00
-33.43591718003154,-70.63763150945306,580.5999755859375,2025-05-18 12:38:21+00:00
-33.4359173476696,-70.6376123148948,580.5999755859375,2025-05-18 12:38:22+00:00
-33.43593008816242,-70.63758130185306,580.5999755859375,2025-05-18 12:38:23+00:00
-33.43593528494239,-70.63756101764739,580.5999755859375,2025-05-18 12:38:24+00:00
-33.43593830242753,-70.63753478229046,580.5999755859375,2025-05-18 12:38:25+00:00
-33.43594333156943,-70.63750620000064,580.7999877929688,2025-05-18 12:38:26+00:00
-33.43594500795007,-70.637480719015,580.7999877929688,2025-05-18 12:38:27+00:00
-33.435953138396144,-70.63744668848813,580.7999877929688,2025-05-18 12:38:28+00:00
-33.4359535574913,-70.6374291703105,580.7999877929688,2025-05-18 12:38:29+00:00
-33.43596110120416,-70.63740218058228,580.7999877929688,2025-05-18 12:38:30+00:00
-33.43596629798412,-70.63737837597728,580.7999877929688,2025-05-18 12:38:31+00:00
-33.435965878888965,-70.63735507428646,580.7999877929688,2025-05-18 12:38:32+00:00
-33.435978619381785,-70.63732154667377,580.7999877929688,2025-05-18 12:38:33+00:00
-33.435979038476944,-70.63730327412486,581.0,2025-05-18 12:38:34+00:00
-33.43598867766559,-70.63727301545441,581.0,2025-05-18 12:38:35+00:00
-33.43599588610232,-70.63725616782904,581.0,2025-05-18 12:38:36+00:00
-33.43599974177778,-70.63723211176693,581.0,2025-05-18 12:38:37+00:00
-33.43600569292903,-70.63721073791385,581.0,2025-05-18 12:38:38+00:00
-33.43600678257644,-70.63719028607011,581.0,2025-05-18 12:38:39+00:00
-33.43601650558412,-70.63715952448547,581.0,2025-05-18 12:38:40+00:00
-33.436017679050565,-70.6371442694217,581.2000122070312,2025-05-18 12:38:41+00:00
-33.43602773733437,-70.63711300492287,581.2000122070312,2025-05-18 12:38:42+00:00
-33.43602932989597,-70.63709490001202,581.2000122070312,2025-05-18 12:38:43+00:00
-33.43603905290365,-70.63706464134157,581.2000122070312,2025-05-18 12:38:44+00:00
-33.436044082045555,-70.6370425131172,581.2000122070312,2025-05-18 12:38:45+00:00
-33.436047434806824,-70.6370147690177,581.4000244140625,2025-05-18 12:38:46+00:00
-33.43605522997677,-70.63698794692755,581.4000244140625,2025-05-18 12:38:47+00:00
-33.436058750376105,-70.63696498051286,581.4000244140625,2025-05-18 12:38:48+00:00
-33.43606822192669,-70.63693815842271,581.4000244140625,2025-05-18 12:38:49+00:00
-33.43606872484088,-70.63691996969283,581.4000244140625,2025-05-18 12:38:50+00:00
-33.43607895076275,-70.6368882022798,581.4000244140625,2025-05-18 12:38:51+00:00
-33.43608289025724,-70.63686615787446,581.4000244140625,2025-05-18 12:38:52+00:00
-33.43608724884689,-70.63683832995594,581.4000244140625,2025-05-18 12:38:53+00:00
-33.436094960197806,-70.63681310042739,581.4000244140625,2025-05-18 12:38:54+00:00
-33.436096385121346,-70.63679189421237,581.5999755859375,2025-05-18 12:38:55+00:00
-33.43610376119614,-70.63676482066512,581.5999755859375,2025-05-18 12:38:56+00:00
-33.43610937707126,-70.63674956560135,581.5999755859375,2025-05-18 12:38:57+00:00
-33.43611616641283,-70.6367243360728,581.5999755859375,2025-05-18 12:38:58+00:00
-33.43612287193537,-70.63669952563941,581.5999755859375,2025-05-18 12:38:59+00:00
-33.4361247997731,-70.63667823560536,581.5999755859375,2025-05-18 12:39:00+00:00
